Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Dr. Alan Sanders,male,574-21-3853,Mon Jan 19 2015 05:41:12 GMT-0500 (Eastern Standard Time),(211) 243-1039,O.R.,19799,a.sandersanders@denob.gov,Diners Club United States & Canada,5473xxxxxxxx1185,09/25,male,KNDP,5,$1314.3,9,$5228.110000000001,17,$14768.390000000001
Mrs. Nancy Tate,female,458-30-1951,6/2/2014,(783) 714-7852,Georgia,34224-5536,n.tateate@raere.net,Diners Club United States & Canada,5499xxxxxxxx4768,01/17,female,WVED,3,$380.18,5,$2391.9900000000002,8,$6374.179999999999
Mrs. Millie Marsh,female,642-59-4001,Sat Sep 23 2006 09:16:41 GMT-0400 (Eastern Daylight Time),(451) 600-9231,North Dakota,58174,m.Marsh@pa.edu,Visa,4261xxxxxxxx7049,12/18,female,KRLJ,1,$760.74,6,$3478.53,9,$8327.23
Mrs. Inez Ortiz,female,305-82-9618,8/16/2010,7305237535,KS,16466,i.ortizrtiz@mawirfar.net,American Express,3462xxxxxxx4319,05/18,female,KPYS,5,$2960.8,9,$7491.6500000000015,12,$14830.410000000003
Misses Lura Freeman,female,960-53-7528,22/12/2010,8373677657,W.Y.,43702-7213,l.freemanreeman@rajjegit.com,Discover Card,6011xxxxxxxx9478,01/23,female,KOYG,1,$32.77,4,$2844.55,13,$10062.55
Mister Justin Sutton,male,005-94-8442,Fri May 19 2006 22:47:30 GMT-0400 (Eastern Daylight Time),(674) 579-7316,MS,40112,j.suttonutton@kijudkuc.gov,Mastercard,5128xxxxxxxx0578,08/19,male,WGBM,0,$0,5,$1370.99,15,$11250.949999999999
Mr. Clarence Ortega,male,045-11-8503,Mon Apr 27 2009 13:16:37 GMT-0400 (Eastern Daylight Time),(371) 832-2653,Virginia,23596,c.ortegartega@fadapwa.edu,Mastercard,5182xxxxxxxx1451,10/21,male,WXLV,0,$0,1,$706.59,3,$2385.86
Miss Myra Wright,female,244-29-2387,Sun Dec 22 2013 08:38:38 GMT-0500 (Eastern Standard Time),(388) 598-9027,South Dakota,44575-1194,m.wrightright@ikija.edu,Mastercard,5141xxxxxxxx5692,11/26,female,KIMU,5,$2707.91,10,$7179.580000000001,12,$13812.070000000003
Mister Blake Little,male,471-36-9380,Sun Mar 20 2005 14:03:05 GMT-0400 (Eastern Daylight Time),9457287421,Indiana,83572-7592,b.Little@je.gov,Mastercard,5174xxxxxxxx9024,02/23,male,WSLG,0,$0,4,$1280.1,13,$9027.55
Misses Isabel McCarthy,female,135-93-9392,Tue Dec 25 2012 21:47:00 GMT-0500 (Eastern Standard Time),(888) 709-8805,Delaware,24881,i.McCarthy@ru.edu,Mastercard,5108xxxxxxxx2451,02/19,female,WZLQ,0,$0,4,$1967.9599999999998,5,$5560.54
Alex Nunez,male,643-17-8596,11/6/2008,9798132084,CT,82971-5958,a.nunezunez@sohvos.au,Discover Card,6011xxxxxxxx8377,01/25,male,WUQA,4,$2060.66,9,$5296.33,19,$15619.379999999997
Barry Blake,male,331-25-3107,7/2/2013,(353) 438-4964,Oregon,55793-9356,b.Blake@zigak.info,Visa,4684xxxxxxxx8627,02/22,male,KNMB,2,$1198.44,4,$2205.2,13,$10204.24
Bessie Banks,female,917-71-2327,11/23/2013,3355933253,K.Y.,53055-7746,b.banksanks@kehondir.info,Visa,4035xxxxxxxx7981,01/25,female,WBBA,2,$797.52,3,$2538.07,6,$5902.65
Dr. Madge Watkins,female,612-90-5433,6/8/2011,3647458689,Iowa,84536,m.Watkins@wuhmilit.net,Visa,4663xxxxxxxx3434,08/26,female,KAMY,0,$0,4,$1162.5900000000001,8,$5302.41
Mrs. Victoria Hale,female,993-27-7655,9/5/2009,2804291058,C.A.,27911-2432,v.haleale@ebe.org,Mastercard,5142xxxxxxxx8194,06/26,female,KAFT,5,$1864.07,9,$6448,12,$11485.500000000002
Kathryn Taylor,female,963-71-2435,6/17/2007,9112155313,W.V.,07635-7315,k.tayloraylor@azacesun.com,Discover Card,6011xxxxxxxx1256,04/24,female,WYIB,0,$0,2,$113.17,9,$5239.620000000001
Mr. Dustin Morgan,male,278-18-8602,Thu Mar 02 2006 13:06:52 GMT-0500 (Eastern Standard Time),3693177784,NE,56057-6945,d.morganorgan@tihva.net,American Express,3475xxxxxxx5747,09/19,male,KAKV,4,$1417.46,6,$4359.52,8,$9192.75
Blake Blake,male,472-87-8792,Fri May 28 2010 04:23:47 GMT-0400 (Eastern Daylight Time),2459465546,A.Z.,68481,b.blakelake@da.gov,Discover Card,6011xxxxxxxx6591,02/22,male,KCZW,4,$1932.6500000000003,6,$5051.31,11,$10737.3
Pauline Roberson,female,174-39-6053,10/19/2012,3458441514,Georgia,32250,p.robersonoberson@obe.gov,Diners Club United States & Canada,5464xxxxxxxx9345,05/24,female,WQEU,3,$627.23,6,$2631.6600000000003,10,$9169.21
Juan Jacobs,male,564-30-6310,Thu Dec 20 2007 23:45:11 GMT-0500 (Eastern Standard Time),7586005190,West Virginia,57203-6356,j.Jacobs@taduga.com,Diners Club United States & Canada,5432xxxxxxxx4135,05/26,male,WPBL,0,$0,3,$1022.26,13,$5809.62
Mrs. Lou Norton,female,746-26-1229,11/16/2014,2148616044,S.D.,64317-7301,l.nortonorton@ako.net,Mastercard,5152xxxxxxxx4935,10/21,female,KVAG,1,$310.49,3,$1482.98,10,$6534.09
Misses Winifred Long,female,114-87-0497,Mon Jun 28 2010 08:28:37 GMT-0400 (Eastern Daylight Time),(469) 238-2167,South Dakota,68215,w.longong@fejacunes.gov,Discover Card,6011xxxxxxxx2115,06/27,female,KBTJ,3,$1506.9499999999998,6,$4869.84,7,$8274.880000000001
Dr. Cordelia Terry,female,379-01-0011,4/4/2013,6894912861,Missouri,51422-3922,c.terryerry@jecobje.au,Discover Card,6011xxxxxxxx8357,03/21,female,KLZQ,4,$3066.2000000000003,9,$6467.110000000001,15,$14701.039999999997
Mr. Victor Miller,male,282-13-0476,Thu Aug 11 2016 17:58:31 GMT-0400 (Eastern Daylight Time),(950) 668-3700,Kansas,12623,v.milleriller@episol.com,American Express,3422xxxxxxx7164,06/20,male,KUFQ,5,$3753.88,9,$9977.769999999999,14,$14632.890000000005
Caroline Dean,female,196-11-3741,11/17/2005,(607) 570-7857,Rhode Island,09767,c.deanean@sopo.au,Diners Club United States & Canada,5417xxxxxxxx6892,02/23,female,WNGJ,3,$944.74,7,$4935.88,10,$9877.1
Phillip Simpson,male,817-13-8216,21/4/2007,6216258110,N.H.,54283-9021,p.simpsonimpson@nagcazi.org,Mastercard,5155xxxxxxxx9332,10/20,male,WPYL,5,$2370.5499999999997,8,$6808.950000000001,12,$13981.04
Miss Georgia Kennedy,female,483-96-5487,10/28/2009,4803134777,Illinois,38693-5101,g.kennedyennedy@ow.edu,Visa,4777xxxxxxxx2833,02/27,female,WWUL,3,$1562.58,7,$4373.07,17,$13104.08
Mrs. Rena Stewart,female,662-84-0490,Thu Dec 09 2010 04:08:10 GMT-0500 (Eastern Standard Time),(683) 440-1176,M.T.,95446-2546,r.stewarttewart@vogutta.edu,Discover Card,6011xxxxxxxx2161,12/20,female,KTVZ,5,$1721.2199999999998,8,$6612.219999999999,14,$13765.219999999998
Doctor Florence Vega,female,672-80-4716,22/9/2009,(667) 440-6788,W.A.,80920,f.vegaega@pule.gov,Visa,4997xxxxxxxx5701,12/27,female,KCEO,5,$2915.87,8,$7195.5,18,$16034.439999999999
Martha Wells,female,971-31-4610,12/10/2015,(634) 687-3801,Wisconsin,43633,m.wellsells@coize.nz,Visa,4050xxxxxxxx8330,10/24,female,WBCD,4,$2116.75,5,$4912.54,15,$13280.349999999999
Doctor Susie Vega,female,409-05-4248,Fri Jul 10 2009 00:54:16 GMT-0400 (Eastern Daylight Time),2267861378,I.N.,42448,s.vegaega@garpe.gov,Discover Card,6011xxxxxxxx8442,12/26,female,WFTD,1,$808.07,3,$2703.58,13,$9781.57
Mr. Ricky Mason,male,356-83-6320,30/10/2011,7726081055,North Dakota,49080-3327,r.masonason@he.co,Discover Card,6011xxxxxxxx7070,12/17,male,KPEY,5,$2101.73,7,$6039.780000000001,9,$11303.71
Lois Hodges,female,088-89-7703,Thu May 28 2015 17:06:04 GMT-0400 (Eastern Daylight Time),(554) 234-7861,S.C.,77894,l.hodgesodges@ze.au,American Express,3468xxxxxxx9589,07/22,female,WERJ,1,$642.49,5,$2388.12,13,$9269.08
Bertha Johnson,female,575-92-8387,Wed Oct 10 2012 14:46:03 GMT-0400 (Eastern Daylight Time),2534306877,N.C.,06039,b.johnsonohnson@apo.com,Discover Card,6011xxxxxxxx9296,08/27,female,WACE,2,$896.5,5,$3582.82,8,$7037.32
Mr. Bill Neal,male,001-94-7791,4/21/2005,(475) 405-8440,MD,61342-6347,b.nealeal@je.org,Mastercard,5125xxxxxxxx0980,12/17,male,WLHU,0,$0,3,$1417.15,10,$6292.100000000001
Mister Milton Daniels,male,761-35-7669,Sat Jan 11 2014 21:34:46 GMT-0500 (Eastern Standard Time),(413) 731-4482,OR,03503-3074,m.danielsaniels@pesibotu.com,American Express,3499xxxxxxx6469,07/26,male,KZRZ,4,$1751.4199999999998,5,$3655.87,12,$7773.45
Cole Wilkins,male,226-93-7852,9/2/2007,4473259951,MT,63250,c.wilkinsilkins@wunufop.de,Visa,4860xxxxxxxx5122,04/27,male,KZLC,0,$0,3,$2402.3,7,$5355.179999999999
Dustin Bishop,male,141-59-3624,Mon Jun 01 2015 22:15:32 GMT-0400 (Eastern Daylight Time),(818) 408-9591,MO,95721-1004,d.bishopishop@redif.co,Diners Club United States & Canada,5485xxxxxxxx4624,12/25,male,KDKR,4,$2333.1600000000003,9,$6562.5700000000015,11,$11635.08
May Alexander,female,866-77-3101,22/3/2008,5159438741,Vermont,41702-1034,m.alexanderlexander@hiw.de,Diners Club United States & Canada,5414xxxxxxxx9322,11/22,female,WGAB,2,$1238.46,4,$4415.45,5,$7615.56
Francis Curtis,female,369-26-6557,Wed Aug 19 2015 17:16:18 GMT-0400 (Eastern Daylight Time),9773452063,Oregon,03380,f.curtisurtis@pepum.de,Diners Club United States & Canada,5433xxxxxxxx2819,12/20,female,KHEW,3,$2104.24,7,$4576.58,9,$9385.840000000002
Miss Jeanette Sandoval,female,169-75-2671,Thu Nov 12 2009 21:08:01 GMT-0500 (Eastern Standard Time),3384452795,N.E.,91928-2146,j.sandovalandoval@jolgu.net,Mastercard,5132xxxxxxxx8243,07/18,female,KQQA,4,$2805.08,5,$5548.8,12,$11449.440000000002
Miss Christina Perez,female,836-92-2265,Sun Dec 28 2014 06:05:38 GMT-0500 (Eastern Standard Time),5694536741,Maryland,94565,c.perezerez@uza.ca,Discover Card,6011xxxxxxxx4551,05/21,female,WXAA,1,$812.96,2,$2748.12,9,$5565.56
Lora Hoffman,female,478-27-3822,Sun Mar 22 2015 00:57:00 GMT-0400 (Eastern Daylight Time),(504) 708-8055,MN,01278,l.hoffmanoffman@lisogan.edu,Discover Card,6011xxxxxxxx6028,02/27,female,WUIO,0,$0,2,$1101.1299999999999,8,$4964.61
